age,sex,race,region,educ,exper,earnings,weeks,hours
46,2,1,1,18,22,60000,52,40
43,1,1,1,14,23,180000,48,45
49,2,1,3,12,31,48700,52,40
48,1,1,2,16,26,30000,52,60
45,1,1,3,14,25,66000,52,85
40,2,2,3,14,20,34000,52,40
46,1,1,1,10,28,10000,52,40
36,2,1,1,7.5,18,12000,52,40
41,1,1,1,12,23,26000,52,45
36,2,2,3,14,16,14000,52,40
27,2,1,3,2.5,9,387963,52,40
29,2,1,1,12,11,15000,26,24
46,1,1,1,12,28,35000,34,65
46,1,1,1,16,24,98000,52,45
34,2,1,3,14,14,3960,12,40
49,1,1,3,18,25,52540,52,40
36,1,1,1,16,14,40000,52,40
41,2,2,3,12,23,9000,16,31
34,1,1,1,12,16,70000,52,40
49,1,1,1,14,29,45000,52,40
48,1,1,3,7.5,30,21120,52,40
48,1,1,3,14,28,35000,52,40
41,1,1,1,16,19,49000,43,40
25,1,1,1,16,3,10000,52,20
43,2,1,2,16,21,6000,36,14
45,1,1,2,14,25,8000,25,40
49,1,1,1,16,27,22500,52,40
34,2,1,3,11,16,4000,52,30
51,1,2,3,12,33,24000,52,40
42,1,1,1,20,16,50000,52,50
31,2,1,3,12,13,24000,35,70
41,2,1,1,12,23,40000,52,40
48,2,2,1,5.5,30,10400,52,40
40,2,1,3,14,20,9360,36,34
26,2,1,1,14,6,23000,52,40
37,2,1,1,12,19,5250,25,32
54,1,1,3,5.5,36,20800,52,40
50,1,1,1,12,32,38000,36,48
46,2,1,1,12,28,15000,52,40
43,1,2,3,16,21,38500,52,40
49,2,1,2,12,31,38624,52,40
49,1,1,2,11,31,33686,52,40
44,2,1,1,16,22,29000,52,40
48,1,1,1,12,30,65000,52,40
32,1,1,3,9,14,24000,40,35
44,1,1,3,16,22,65000,52,50
28,1,1,1,14,8,35000,52,50
35,2,1,2,12,17,3000,52,30
49,2,1,2,14,29,31000,52,40
48,2,1,1,12,30,33280,52,40
47,1,1,1,14,27,27371,52,40
34,2,1,1,16,12,97000,52,40
52,2,1,3,14,32,50000,52,40
31,1,4,3,18,7,40000,52,40
40,2,1,2,12,22,40000,50,40
26,1,1,4,12,8,50000,52,40
36,1,2,3,14,16,85000,52,40
38,2,1,2,16,16,62000,52,42
45,2,1,3,16,23,48000,38,40
37,2,2,3,16,15,12000,52,16
34,2,1,2,14,14,1800,50,5
40,2,1,4,12,22,2500,15,20
38,1,1,1,12,20,25000,52,40
30,2,1,3,12,12,31000,52,40
30,1,1,4,12,12,69000,52,50
49,1,1,4,16,27,30000,52,40
40,2,1,2,14,20,1580,8,7
28,1,1,2,16,6,80000,52,60
42,2,1,4,14,22,32000,52,48
43,2,1,4,12,25,40000,52,40
37,2,1,3,12,19,18686,52,40
39,1,1,2,14,19,45000,52,55
34,2,1,3,12,16,11000,40,12
29,2,5,3,14,9,31000,39,40
36,1,1,4,18,12,45000,52,40
44,2,1,1,14,24,30000,52,40
44,2,1,2,12,26,30000,52,40
51,2,1,2,20,25,121500,47,31
32,1,1,2,16,10,68000,52,40
51,2,1,1,16,29,49000,40,40
29,1,1,3,12,11,17000,52,45
43,2,1,3,12,25,35000,52,50
44,2,1,2,12,26,30000,52,35
47,2,1,2,16,25,26600,52,30
32,1,1,2,12,14,32000,52,40
26,1,1,2,12,8,50000,52,60
28,2,1,1,18,4,45000,52,40
27,2,1,3,20,1,75500,52,40
41,1,1,4,12,23,38000,52,40
45,2,1,1,18,21,13900,36,20
37,2,1,3,14,17,50000,52,40
38,1,1,2,14,18,50000,52,60
49,2,1,4,5.5,31,12000,30,1
32,1,1,4,14,12,100000,52,40
41,1,1,4,12,23,25000,52,40
28,2,1,3,14,8,75000,52,35
47,1,3,4,16,25,140000,52,40
49,1,1,4,14,29,70000,52,50
30,2,3,2,14,10,58000,52,55
33,1,1,2,18,9,36000,52,40
40,1,1,2,12,22,23400,52,40
54,1,1,2,14,34,46800,52,50
27,2,1,2,14,7,12000,52,30
32,2,4,4,16,10,9672,16,40
31,2,1,2,16,9,30000,42,40
43,1,1,2,2.5,25,30000,52,40
48,1,2,2,10,30,1000,45,6
54,2,1,4,12,36,18000,52,40
37,2,4,4,16,15,62000,52,50
46,1,1,4,14,26,60000,52,40
47,1,1,4,11,29,3600,26,4
33,1,1,2,12,15,41717,52,40
40,1,1,2,12,22,54000,52,40
45,2,1,3,14,25,14656,52,50
42,2,1,3,16,20,37000,52,40
45,1,1,4,14,25,26000,52,40
43,2,1,4,16,21,24000,40,40
50,2,1,2,14,30,25584,52,40
28,1,1,2,14,8,60000,52,40
29,1,1,4,16,7,10000,40,20
53,1,1,4,12,35,25200,36,40
50,2,1,4,12,32,23000,52,40
30,2,1,4,12,12,17000,40,40
48,1,1,4,12,30,73000,52,45
39,2,1,4,18,15,46000,52,40
44,2,4,4,20,18,42000,52,40
25,2,4,2,12,7,32000,52,40
39,2,5,3,9,21,4100,44,20
39,2,1,4,14,19,2683,26,16
40,2,1,4,2.5,22,10400,52,40
25,2,1,4,12,7,18000,52,40
42,1,1,2,14,22,44000,52,36
32,1,1,1,12,14,50000,52,40
46,1,3,1,12,28,24000,36,37
31,2,2,3,11,13,22880,52,40
31,2,1,1,12,13,24000,52,20
48,2,2,2,12,30,16000,52,40
37,1,1,1,12,19,3000,52,30
51,2,1,2,18,27,25000,52,21
44,1,1,1,14,24,18000,52,40
42,1,2,3,12,24,28000,46,44
42,1,1,2,7.5,24,4440,2,40
40,2,1,3,14,20,6800,52,16
47,2,2,3,14,27,57000,52,40
46,1,4,3,16,24,75000,52,40
49,2,1,1,16,27,27000,52,40
33,1,1,1,14,13,35000,52,40
46,1,1,1,14,26,20952,52,15
51,2,1,1,12,33,11000,52,20
41,1,2,3,12,23,21000,52,40
25,2,1,3,16,3,27600,52,56
53,1,1,1,18,29,60000,52,40
40,1,4,3,12,22,40000,52,50
43,2,1,3,10,25,5000,52,12
42,2,1,3,5.5,24,16000,52,40
50,2,1,2,12,32,25000,52,45
36,2,1,1,12,18,14000,52,40
36,1,1,2,14,16,42000,23,40
38,1,1,1,12,20,20000,52,50
36,2,1,3,14,16,36500,52,40
45,2,1,1,16,23,15000,26,40
54,2,1,3,16,32,54000,32,40
28,1,2,3,12,10,20000,52,50
34,1,1,1,16,12,24430,52,45
46,2,1,1,18,22,10000,17,40
33,1,1,1,16,11,30000,52,65
50,2,2,3,14,30,19500,52,40
54,1,1,1,14,34,61291,52,40
53,2,4,3,11,35,50000,52,40
50,1,1,1,18,26,140000,52,45
33,1,1,1,14,13,20000,40,40
50,1,1,1,12,32,6200,26,40
54,2,1,2,18,30,55600,52,60
27,2,1,2,12,9,1800,26,30
41,2,1,1,14,21,49148,52,50
31,1,1,3,12,13,40000,52,50
36,2,1,3,16,14,39000,52,40
30,2,1,3,18,6,55000,52,40
40,1,1,2,14,20,75000,52,50
54,1,2,1,12,36,53500,52,40
52,1,1,1,16,30,158000,52,65
50,1,2,3,12,32,30000,52,40
40,1,1,3,16,18,58000,40,40
43,1,1,1,12,25,24000,52,45
27,2,1,2,14,7,17000,18,40
27,1,1,3,14,7,27000,52,50
47,2,4,2,7.5,29,22000,52,52
27,2,1,3,16,5,34000,52,35
52,1,2,3,14,32,17000,52,40
27,2,2,1,12,9,30000,52,40
27,1,1,3,12,9,29000,52,40
49,1,1,3,20,23,9360,52,24
35,1,1,3,12,17,60000,52,40
26,2,1,3,18,2,60000,52,40
37,2,2,3,12,19,14000,52,40
40,2,1,3,14,20,12000,49,32
46,1,1,1,14,26,30000,52,40
47,1,2,1,11,29,2880,13,40
42,2,2,1,14,22,39000,52,35
37,1,1,1,14,17,55000,52,35
29,2,1,3,14,9,12000,52,40
54,1,1,1,14,34,51800,52,40
31,1,1,3,16,9,62000,52,45
38,2,3,3,14,18,25000,52,44
29,1,1,1,12,11,48000,52,50
38,1,1,3,16,16,120000,52,60
29,1,1,1,16,7,6000,13,20
53,2,1,1,18,29,95000,52,60
39,2,1,2,14,19,34000,52,37
29,2,1,4,16,7,40000,52,40
41,1,1,2,12,23,30500,52,40
29,2,1,4,18,5,20000,39,20
44,1,1,2,18,20,85000,52,50
28,2,1,1,18,4,17000,12,35
49,2,1,1,18,25,46000,52,45
32,2,1,3,14,12,24000,52,40
51,2,1,2,14,31,28000,52,32
46,1,1,3,12,28,18000,52,40
44,1,1,3,16,22,51000,52,50
45,1,1,3,20,19,90000,52,70
39,2,1,1,12,21,10000,52,24
45,1,1,1,14,25,52000,52,45
45,1,1,2,14,25,38000,52,45
37,1,1,4,14,17,60000,52,50
54,2,1,4,18,30,72000,41,40
36,1,1,4,0,18,13000,52,75
36,2,4,3,16,14,33000,52,40
46,2,1,1,14,26,54000,52,44
40,2,2,3,12,22,14000,52,40
53,1,1,1,14,33,48000,52,75
54,1,1,2,14,34,10000,52,40
52,1,1,2,14,32,10000,10,40
54,2,1,4,16,32,55000,52,40
47,2,1,3,16,25,40000,52,40
26,1,1,2,12,8,30000,52,40
49,1,1,3,12,31,17631,40,40
43,2,2,2,12,25,7800,26,30
39,2,1,4,16,17,7610,37,12
44,1,1,2,12,26,53000,52,41
46,2,1,1,14,26,58000,52,40
48,2,1,2,12,30,6525,43,15
28,1,1,4,14,8,80000,52,45
46,2,2,3,12,28,16000,52,40
25,1,1,4,12,7,39000,52,40
26,1,3,4,14,6,27000,52,30
29,1,1,4,14,9,45000,52,45
26,2,1,3,11,8,4500,41,40
45,2,1,4,14,25,3000,16,20
37,1,1,3,12,19,21000,52,40
29,1,1,3,7.5,11,28000,12,50
44,1,2,3,16,22,31800,52,50
26,1,1,2,14,6,34000,52,40
51,1,1,2,12,33,32000,51,40
41,2,1,4,14,21,40000,52,40
43,2,1,4,14,23,26000,52,40
48,1,1,2,14,28,41500,52,55
41,2,1,2,14,21,24960,52,40
48,2,1,3,12,30,30000,52,40
43,2,1,4,14,23,10000,52,32
35,1,1,4,18,11,100000,52,40
35,1,1,4,18,11,87000,52,50
40,2,1,2,14,20,12000,52,50
46,1,1,2,14,26,36000,52,40
38,2,1,2,20,12,40000,46,60
25,2,1,2,16,3,4426,48,10
25,2,5,2,12,7,50000,52,40
53,1,1,2,14,33,13000,52,35
47,1,1,2,12,29,2500,21,40
51,2,1,2,12,33,23000,52,35
36,1,1,2,16,14,85000,52,50
33,1,1,4,14,13,20000,40,35
47,2,1,2,14,27,37000,52,40
42,2,1,3,14,22,20000,26,10
45,2,1,2,12,27,22000,44,30
25,2,1,2,12,7,18000,52,40
46,2,3,4,9,28,26000,52,40
45,1,1,2,12,27,24000,52,40
35,1,1,4,16,13,30000,52,40
37,1,1,4,16,15,16000,37,40
32,1,1,4,14,12,12000,12,48
42,1,1,2,14,22,91000,52,55
41,1,1,2,16,19,42000,52,55
43,1,1,4,11,25,2000,45,12
51,1,1,4,16,29,80000,46,55
27,1,1,4,12,9,8000,26,36
36,1,1,4,18,12,117000,52,50
38,2,1,4,14,18,30000,52,40
30,1,4,4,16,8,29000,52,40
27,2,5,2,14,7,33000,52,40
49,2,1,2,16,27,50000,52,40
48,1,1,3,12,30,32000,52,40
30,2,1,2,14,10,28000,52,40
35,1,1,4,12,17,35000,52,45
50,1,1,4,16,28,40000,52,40
36,2,2,4,16,14,5000,52,20
31,2,1,4,12,13,2000,16,25
40,1,1,2,12,22,20000,28,40
44,1,1,3,12,26,60000,52,50
33,1,1,2,16,11,55000,52,45
33,1,1,2,12,15,24000,52,40
25,1,1,3,14,5,16000,40,40
31,2,1,4,16,9,3960,48,10
27,1,1,4,14,7,63000,52,40
28,1,1,4,16,6,36000,52,40
47,2,1,2,14,27,22000,52,40
39,1,1,2,16,17,90000,52,50
32,2,5,4,16,10,7000,48,16
45,1,1,2,12,27,13000,52,38
34,2,1,3,11,16,18000,52,40
31,2,1,4,14,11,24000,52,40
45,2,1,2,18,21,62000,52,45
48,1,1,2,12,30,50000,52,56
27,2,1,3,14,7,50000,52,40
44,1,1,4,14,24,70000,52,40
42,1,1,2,12,24,46800,52,45
51,2,1,4,16,29,97000,52,40
28,1,5,4,14,8,13100,50,40
30,2,1,3,18,6,4000,52,4
26,1,1,4,12,8,54000,30,40
31,2,1,4,14,11,34000,52,40
28,1,1,3,9,10,70000,52,40
42,2,1,2,16,20,92000,50,50
44,2,1,4,12,26,18000,52,40
38,2,1,2,14,18,23000,52,40
48,1,1,2,16,26,57000,52,50
28,1,1,3,12,10,12000,52,40
30,1,1,4,11,12,35000,52,40
46,2,1,4,12,28,14946,52,37
51,1,1,2,14,31,45000,52,40
26,1,1,2,12,8,16000,36,50
43,1,1,4,18,19,130000,52,40
36,2,1,3,16,14,40000,52,32
37,2,1,3,12,19,5000,40,40
43,1,1,3,20,17,61000,52,40
38,1,1,3,2.5,20,20000,52,40
41,2,1,1,12,23,5876,52,16
28,1,1,2,12,10,9000,52,35
30,2,1,1,12,12,20000,52,40
45,2,1,3,12,27,1302,52,40
41,1,1,1,0,23,19344,52,40
38,1,1,2,16,16,40000,52,52
25,1,1,3,12,7,10000,52,40
43,2,2,1,14,23,43600,52,40
42,2,1,1,16,20,26000,52,35
30,2,1,3,16,8,32000,52,40
27,1,1,3,16,5,26000,52,50
51,1,1,2,14,31,27000,52,40
49,1,1,2,10,31,38000,52,40
50,2,1,1,12,32,6548,28,35
31,1,1,2,16,9,62000,52,42
44,1,1,1,16,22,100000,52,70
40,1,1,1,12,22,85000,52,45
50,1,1,1,18,26,50000,52,40
43,1,1,1,12,25,23000,52,40
44,2,1,1,18,20,5000,20,25
46,1,1,1,14,26,1400,8,40
47,2,1,1,12,29,14000,52,24
31,2,1,2,7.5,13,1100,26,7
46,1,1,1,12,28,160000,52,40
30,2,1,3,12,12,19656,52,40
30,2,1,1,14,10,30000,52,15
25,2,1,3,14,5,5500,52,16
39,2,1,1,16,17,120000,52,32
40,2,1,1,12,22,40000,52,40
51,1,1,3,18,27,404469,52,40
44,1,1,3,18,20,69000,52,40
36,2,1,1,16,14,47000,26,40
44,2,1,3,18,20,35000,52,40
42,2,1,1,16,20,42000,52,40
47,2,1,1,12,29,9000,48,13
28,1,1,3,14,8,59000,36,40
25,1,1,1,12,7,35000,52,40
38,2,1,1,16,16,23000,52,20
45,2,1,3,12,27,7000,28,30
40,1,1,1,16,18,100000,52,40
53,2,5,3,14,33,63000,52,44
44,2,1,2,16,22,50000,52,40
42,2,1,2,12,24,43000,52,40
25,1,2,1,12,7,15000,52,50
30,1,1,1,16,8,7200,8,35
46,2,1,1,14,26,17000,52,36
50,1,1,1,12,32,34000,48,40
39,1,1,1,12,21,65000,52,52
27,2,1,3,14,7,23000,52,40
32,1,1,1,16,10,19300,52,40
40,2,1,3,20,14,28000,48,40
29,2,2,3,14,9,28500,17,40
39,1,1,3,16,17,43500,52,40
54,1,1,1,14,34,78000,52,40
37,1,1,2,12,19,82000,52,65
34,1,1,1,16,12,55450,52,45
47,1,1,1,5.5,29,23000,52,40
25,1,2,1,16,3,27000,52,40
37,2,1,1,16,15,2100,52,40
51,1,1,1,16,29,36400,52,70
42,2,1,1,14,22,25000,52,45
28,1,1,1,12,10,18300,52,55
49,1,1,1,12,31,15840,52,40
26,1,1,2,18,2,52000,52,56
41,2,1,1,12,23,40000,52,45
47,2,1,3,14,27,16000,46,40
29,1,1,3,12,11,21594,50,40
43,2,1,3,12,25,9600,52,24
42,2,2,1,12,24,11000,52,20
34,2,4,1,16,12,34000,33,36
52,2,1,2,14,32,18937,52,48
47,1,2,3,12,29,13000,52,20
48,1,1,3,14,28,42000,52,40
53,1,1,3,14,33,32000,52,40
39,2,1,2,12,21,1000,52,8
29,1,1,3,18,5,32000,52,40
41,2,1,3,18,17,40000,24,32
41,2,1,3,14,21,31800,52,40
41,1,1,1,12,23,53000,52,50
42,2,2,3,10,24,10400,52,40
52,1,1,2,12,34,60000,52,40
30,1,1,1,14,10,32500,52,45
54,1,1,1,18,30,111000,52,40
32,1,1,1,18,8,3000,10,20
40,1,1,1,14,20,50000,52,50
44,2,1,1,14,24,38000,52,40
53,2,1,1,12,35,12000,52,30
40,2,1,3,14,20,400,5,13
35,1,1,2,12,17,40000,48,40
38,2,1,1,14,18,40000,52,55
45,2,1,1,16,23,90000,52,45
25,2,1,4,14,5,25000,52,40
34,2,1,2,12,16,74000,52,45
30,2,1,4,14,10,3000,25,20
46,1,1,4,12,28,78000,52,60
26,1,1,4,12,8,27000,52,40
44,2,2,3,7.5,26,28600,52,84
29,2,1,3,16,7,35000,40,40
41,2,1,1,18,17,49000,52,35
53,2,1,3,14,33,41881,52,42
26,1,1,4,12,8,46000,52,40
36,2,1,3,12,18,15000,52,40
32,2,1,4,12,14,16944,52,40
35,2,1,4,16,13,47000,48,45
51,1,1,1,12,33,40000,52,48
42,1,1,4,14,22,13000,48,48
45,1,1,1,12,27,53800,52,50
41,1,1,4,12,23,200000,52,50
37,1,1,3,16,15,21000,52,40
44,1,4,4,12,26,20000,52,40
41,2,1,2,14,21,36000,52,50
51,1,1,4,14,31,50000,52,60
44,2,1,1,18,20,26950,52,40
46,1,1,1,14,26,7200,16,40
29,1,1,4,14,9,36000,52,60
43,1,1,2,12,25,6700,47,35
35,2,1,1,16,13,20000,52,16
42,2,1,1,14,22,52000,52,55
44,1,1,4,5.5,26,26000,52,40
27,2,1,3,16,5,25000,52,50
46,1,5,2,12,28,26000,52,40
29,1,1,2,16,7,46500,52,40
26,1,1,1,16,4,30000,52,40
32,1,1,3,12,14,43000,52,50
44,1,1,2,12,26,27040,52,40
37,2,1,1,16,15,6000,49,12
35,2,1,3,10,17,15132,52,52
36,2,1,3,14,16,14007,52,53
54,1,1,4,16,32,50000,52,40
32,1,1,3,10,14,35000,52,35
36,1,1,4,12,18,30000,52,40
26,2,1,4,12,8,19700,52,40
26,2,1,2,12,8,24000,52,40
50,1,1,4,12,32,70000,52,50
28,2,3,3,12,10,38000,52,40
35,2,1,4,14,15,21000,40,35
39,2,1,4,12,21,51000,52,40
51,2,1,3,14,31,45000,52,60
36,2,1,2,16,14,35000,43,20
37,1,1,4,14,17,20000,49,40
51,2,1,2,14,31,32000,52,40
29,1,1,3,9,11,21600,52,40
40,1,1,4,9,22,18000,52,40
53,1,1,4,16,31,22000,52,40
44,1,1,4,16,22,60000,52,40
38,1,1,4,18,14,165000,46,60
45,1,2,2,18,21,33000,52,40
40,2,1,2,16,18,7000,25,25
38,2,1,4,12,20,15684,11,40
25,1,1,4,14,5,20000,52,40
35,2,1,4,14,15,7500,48,28
26,1,1,4,12,8,23000,52,40
32,2,1,4,18,8,24960,52,40
32,1,1,4,14,12,26000,52,40
35,2,1,4,14,15,10400,52,20
29,1,1,4,12,11,56000,52,42
50,2,1,4,14,30,62000,52,40
50,1,1,4,18,26,4500,18,40
38,2,1,4,12,20,79000,52,40
32,2,1,2,14,12,21600,35,40
28,1,4,2,16,6,9000,52,40
45,1,1,2,14,25,40000,52,40
52,2,1,4,18,28,55000,44,40
47,2,1,4,14,27,1000,30,4
32,1,5,2,12,14,35000,52,50
32,1,2,2,18,8,44200,52,45
54,2,1,3,14,34,16130,52,40
49,2,1,4,14,29,13000,26,32
30,2,1,4,16,8,1500,12,10
45,1,1,2,14,25,80000,52,40
32,1,5,3,14,12,23000,52,50
32,2,1,4,14,12,12000,52,40
25,1,1,2,14,5,22000,52,50
35,2,2,2,14,15,30000,52,40
49,1,1,4,12,31,15000,26,40
39,1,1,4,9,21,56500,50,40
49,2,1,4,5.5,31,9000,44,7
54,1,1,4,16,32,35000,52,40
32,1,1,2,14,12,56000,52,40
35,2,1,2,14,15,17000,42,36
47,1,1,4,14,27,40000,52,40
27,1,1,2,14,7,3440,43,10
42,1,1,3,9,24,4000,8,30
52,1,1,2,14,32,23400,52,40
46,1,1,4,12,28,86000,52,40
49,2,1,2,14,29,24000,52,32
30,2,1,2,16,8,31000,52,40
41,2,1,4,14,21,37000,52,40
41,2,1,2,18,17,13000,52,20
34,2,1,2,12,16,20000,52,40
48,1,1,3,12,30,76000,52,50
29,1,1,2,16,7,8000,10,40
39,2,1,3,16,17,41000,52,99
49,1,1,2,14,29,50000,50,40
39,2,1,2,14,19,19200,52,40
50,1,1,2,12,32,24000,50,40
49,1,1,2,12,31,22000,52,80
49,2,1,4,14,29,26000,52,99
53,2,1,2,14,33,61000,52,40
36,2,1,2,12,18,32900,52,40
31,1,1,2,16,9,45000,52,45
25,1,1,4,14,5,28000,52,40
33,1,2,2,14,13,9443,25,40
